source_file,year,objective,donor,recipient_scope,sector_scope,allocable_scope,marker,amount_type,unit,principal,significant,screened_not_targeted,not_screened,climate_targeted_total_usd_millions_2019,all_screened_total_usd_millions_2019
2016Adaptation.xls,2016,Adaptation,United Kingdom,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",191.671772,892.680835,5405.09599,236.371507,1084.352607,6725.820103999999
2016Adaptation.xls,2016,Adaptation,United States,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",1104.736503,5.15295,28183.008231,,1109.889453,29292.897684
2016Adaptation.xls,2016,Adaptation,EU Institutions,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",798.923717,3462.367452,18703.803016,,4261.291169,22965.094185
2016Adaptation.xls,2016,Adaptation,Data extracted on 16 Jun 2021 02:43 UTC (GMT) from OECD.Stat,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Adaptation,Constant Prices,"US Dollar, Millions, 2019",,,,,,
2016Mitigation.xls,2016,Mitigation,"DAC members, Total","Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",9269.745032,14312.735336,97753.846272,4182.929347,23582.480368,125519.255987
2016Mitigation.xls,2016,Mitigation,Australia,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",25.263061,238.052916,1595.962642,275.727743,263.31597700000003,2135.006362
2016Mitigation.xls,2016,Mitigation,Austria,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",20.932332,31.267743,234.847226,54.403697,52.200075,341.450998
2016Mitigation.xls,2016,Mitigation,Belgium,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",26.62491,119.018776,806.831577,4.641419,145.643686,957.1166820000001
2016Mitigation.xls,2016,Mitigation,Canada,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",170.00495,281.592993,3109.924986,,451.597943,3561.5229289999997
2016Mitigation.xls,2016,Mitigation,Czech Republic,"Developing Countries, Total",1000: Total All Sectors,Bilateral Allocable,Climate Change Mitigation,Constant Prices,"US Dollar, Millions, 2019",1.041308,1.542582,27.162317,25.030862,2.58389,54.777069
